~                Val    B    C    D    M    m    N    P    p    S    W
Buffalo        42.54    ~  454  216 1181  731  292 1906  178 1699  292
Chicago        41.50  454    ~  238 1188  355  713 1453  410 1260  597
Detroit        42.19  216  238    ~ 1152  543  482 1690  205 1492  396
Miami          25.46 1181 1188 1152    ~ 1511 1092 1982 1010 2089  923
Minneapolis    44.58  731  355  543 1511    ~ 1018 1280  743  987  934
NewYork        40.42  292  713  482  1092 1018   ~ 2145  317 1972  205
Phoenix        33.26 1906 1453 1690 1982 1280 2145    ~ 1828  504 1983
Pittsburgh     40.26  178  410  205 1010  743  317 1828    ~ 1668  192
SaltLakeCity   40.43 1699 1260 1492 2089  987 1972  504 1668    ~ 1848
WashingtonDC   38.52  292  597  396  923  934  205 1983  192 1848    ~
